TypeEx,Name,Description,URL,Rating,Category,Keywords,Comments,Uid
Tabular,NYS Math Test Results By Grade 2006-2011 - District - By Race- Ethnicity (Education/NYS-Math-Test-Results-By-Grade-2006-2011-District-/pgrs-2cjd),"New York City Results on the New York State Mathematics Tests, Grades 3 - 8
Notes:
As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7.
In 2006, NYSED treated District 75 students as a distinct geographic district. For 2007-2011, District 75 students are represented in their home districts and boroughs. Spreadsheets for District and Borough do not include District 75 students in 2006.
Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency.
Rows are suppressed (noted with â€˜sâ€™) if the number of tested students was 5 or fewer.",https://data.cityofnewyork.us/Education/NYS-Math-Test-Results-By-Grade-2006-2011-District-/pgrs-2cjd,0,Education,,0,pgrs-2cjd
Tabular,NYS Math Test Results By Grade 2006-2011 - School Level - All Students (Education/NYS-Math-Test-Results-By-Grade-2006-2011-School-Le/jufi-gzgp),"New York City Results on the New York State Mathematics Tests, Grades 3 - 8
Notes:
As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7.
In 2006, NYSED treated District 75 students as a distinct geographic district. For 2007-2011, District 75 students are represented in their home districts and boroughs. Spreadsheets for District and Borough do not include District 75 students in 2006.
Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency.
Rows are suppressed (noted with â€˜sâ€™) if the number of tested students was 5 or fewer. 
Prior to 2011, the mean scale scores for â€˜All Gradesâ€™ were not calculated.",https://data.cityofnewyork.us/Education/NYS-Math-Test-Results-By-Grade-2006-2011-School-Le/jufi-gzgp,0,Education,,1,jufi-gzgp
Filter,Shital (Library/Shital/aqzq-3e3u),"Brooklyn Public Library Catalog, with Call #, Author, Title, Edition, Pub Info, Standard #.  Data delimiter is â€œ|â€ù.",https://data.cityofnewyork.us/Library/Shital/aqzq-3e3u,0,Library,"library, catalog, catalogue, brooklyn, book, author, title, edition, publisher",0,aqzq-3e3u
Filter,IndstWaste2004 (Other/IndstWaste2004/9epv-y9qw),311 Service Requests for 2004. This is historical data and will not be updated.,https://data.cityofnewyork.us/Other/IndstWaste2004/9epv-y9qw,0,Other,"311, 311 service requests, 2004, all service requests",0,9epv-y9qw
Tabular,NYS Math Test Results By Grade 2006-2011 - School Level - By Disability Status (Education/NYS-Math-Test-Results-By-Grade-2006-2011-School-Le/vdbc-pyc9),"New York City Results on the New York State Mathematics Tests, Grades 3 - 8
Notes:
As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7.
In 2006, NYSED treated District 75 students as a distinct geographic district. For 2007-2011, District 75 students are represented in their home districts and boroughs. Spreadsheets for District and Borough do not include District 75 students in 2006.
Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency.
Rows are suppressed (noted with â€˜sâ€™) if the number of tested students was 5 or fewer. 
Prior to 2011, the mean scale scores for â€˜All Gradesâ€™ were not calculated.",https://data.cityofnewyork.us/Education/NYS-Math-Test-Results-By-Grade-2006-2011-School-Le/vdbc-pyc9,0,Education,,0,vdbc-pyc9
Filter,Manhattan Noise Complaints 2006 Test (Other/Manhattan-Noise-Complaints-2006-Test/42ty-6mij),Test data from all 311 Service Requests for 2006 in Manhattan.,https://data.cityofnewyork.us/Other/Manhattan-Noise-Complaints-2006-Test/42ty-6mij,0,Other,"311, 311 service requests, 2006, all service requests",0,42ty-6mij
Filter,Bronx 311 Consumer Complaints 2010 - present (Social-Services/Bronx-311-Consumer-Complaints-2010-present/rsm2-sjap),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/Bronx-311-Consumer-Complaints-2010-present/rsm2-sjap,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,rsm2-sjap
Tabular,NYS Math Test Results By Grade 2006-2011 - School Level - By English Proficiency Status (Education/NYS-Math-Test-Results-By-Grade-2006-2011-School-Le/sibt-hnvk),"New York City Results on the New York State Mathematics Tests, Grades 3 - 8
Notes:
As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7.
In 2006, NYSED treated District 75 students as a distinct geographic district. For 2007-2011, District 75 students are represented in their home districts and boroughs. Spreadsheets for District and Borough do not include District 75 students in 2006.
Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency.
Rows are suppressed (noted with â€˜sâ€™) if the number of tested students was 5 or fewer. 
Prior to 2011, the mean scale scores for â€˜All Gradesâ€™ were not calculated.",https://data.cityofnewyork.us/Education/NYS-Math-Test-Results-By-Grade-2006-2011-School-Le/sibt-hnvk,0,Education,,0,sibt-hnvk
Tabular,NYS Math Test Results By Grade 2006-2011 - School Level - By Gender (Education/NYS-Math-Test-Results-By-Grade-2006-2011-School-Le/pxfd-dpcz),"New York City Results on the New York State Mathematics Tests, Grades 3 - 8
Notes:
As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7.
In 2006, NYSED treated District 75 students as a distinct geographic district. For 2007-2011, District 75 students are represented in their home districts and boroughs. Spreadsheets for District and Borough do not include District 75 students in 2006.
Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency.
Rows are suppressed (noted with â€˜sâ€™) if the number of tested students was 5 or fewer. 
Prior to 2011, the mean scale scores for â€˜All Gradesâ€™ were not calculated.",https://data.cityofnewyork.us/Education/NYS-Math-Test-Results-By-Grade-2006-2011-School-Le/pxfd-dpcz,0,Education,,0,pxfd-dpcz
Tabular,NYS Math Test Results By Grade 2006-2011 - School Level - By Race- Ethnicity (Education/NYS-Math-Test-Results-By-Grade-2006-2011-School-Le/ty7c-8rmq),"New York City Results on the New York State Mathematics Tests, Grades 3 - 8
Notes:
As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7.
In 2006, NYSED treated District 75 students as a distinct geographic district. For 2007-2011, District 75 students are represented in their home districts and boroughs. Spreadsheets for District and Borough do not include District 75 students in 2006.
Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency.
Rows are suppressed (noted with â€˜sâ€™) if the number of tested students was 5 or fewer. 
Prior to 2011, the mean scale scores for â€˜All Gradesâ€™ were not calculated.",https://data.cityofnewyork.us/Education/NYS-Math-Test-Results-By-Grade-2006-2011-School-Le/ty7c-8rmq,0,Education,,0,ty7c-8rmq
Tabular,Oil Boilers - Detailed Fuel Consumption and Building Data (Facilities-and-Structures/Oil-Boilers-Detailed-Fuel-Consumption-and-Building/jfzu-yy6n),"Detailed data on NYC buildings with oil boilers, including fuel consumption, BBL, building owner/management info, deadline for complying with Audit and Retrocommissioning Law, building type and year constructed, number of floors and residential units, Condo/Coop status, and more.",https://data.cityofnewyork.us/Facilities-and-Structures/Oil-Boilers-Detailed-Fuel-Consumption-and-Building/jfzu-yy6n,0,Facilities and Structures,"energy, power, environment, planning, construction, housing, property",1,jfzu-yy6n
Tabular,Oil Usage ( Select City Owned Buildings) (Statistics/Oil-Usage-Select-City-Owned-Buildings-/whux-iuiu),Oil usage statistics for a select portfolio of City-owned buildings,https://data.cityofnewyork.us/Statistics/Oil-Usage-Select-City-Owned-Buildings-/whux-iuiu,0,Statistics,"oil usage ( select city owned buildings), oil, city, data, statistics, heating, energy, coned, thermostat, heat",0,whux-iuiu
External,Online directory of certified businesses with a detailed profile (Business-and-Economic/Online-directory-of-certified-businesses-with-a-de/d3yz-zwvd),"MWBE Dataset provides a comprehensive list of certified Minority and Women-owned Business Enterprises (M/WBEs), Emerging Business Enterprises (EBEs), and or Locally-based Enterprises (LBEs) throughout the New York City tri-state area. It also provides detailed information on certified companies, including a brief description of their work history and contact information.",https://data.cityofnewyork.us/Business-and-Economic/Online-directory-of-certified-businesses-with-a-de/d3yz-zwvd,0,Business and Economic,,0,d3yz-zwvd
External,Open Space (dataset/Open-Space/xea9-4qn8),Planimetric basemap layer containing open spaces,https://data.cityofnewyork.us/dataset/Open-Space/xea9-4qn8,0,,,0,xea9-4qn8
External,Open Summonses - Active For-Hire-Vehicle (FHV) Drivers (Transportation/Open-Summonses-Active-For-Hire-Vehicle-FHV-Drivers/p7p7-wvdw),"List of open summonses written against TLC-licensed drivers.  Only open summonses that have not yet been heard in court are shown â€“ that means that the hearings have not happened and a final decision has not been made in these cases.
File includes Driver License Number, Summons Number and Date Issued, Charges, and current Disposition.",https://data.cityofnewyork.us/Transportation/Open-Summonses-Active-For-Hire-Vehicle-FHV-Drivers/p7p7-wvdw,0,Transportation,"tickets, safety",0,p7p7-wvdw
Filter,Manhattan Noise 2004 Test - Addenum 2 - Vehicles (Other/Manhattan-Noise-2004-Test-Addenum-2-Vehicles/k6mk-29bf),311 Service Requests for 2004. This is historical data and will not be updated.,https://data.cityofnewyork.us/Other/Manhattan-Noise-2004-Test-Addenum-2-Vehicles/k6mk-29bf,0,Other,"311, 311 service requests, 2004, all service requests",0,k6mk-29bf
External,Open Summonses - Active For-Hire-Vehicle (FHV) Owners (Transportation/Open-Summonses-Active-For-Hire-Vehicle-FHV-Owners/fndu-yzn3),"List of open summonses written against TLC-licensed vehicles. Only open summonses that have not yet been heard in court are shown â€“ that means that the hearings have not happened and a final decision has not been made in these cases. File includes Vehicle License Number, Vehicle's Affiliated Base Number, Summons NNumber, Date Summons Issued, Charge and Disposition.",https://data.cityofnewyork.us/Transportation/Open-Summonses-Active-For-Hire-Vehicle-FHV-Owners/fndu-yzn3,0,Transportation,,0,fndu-yzn3
Map,Holland Tunnel (Transportation/Holland-Tunnel/bt4b-azgc),Map of NYC Subway Entrances,https://data.cityofnewyork.us/Transportation/Holland-Tunnel/bt4b-azgc,0,Transportation,"location, map, cartography, basemap, transit, transportation, train, subway, travel, entrance, station",0,bt4b-azgc
Tabular,Paratransit Bases (dataset/Paratransit-Bases/r247-45ub),All TLC paratransit bases,https://data.cityofnewyork.us/dataset/Paratransit-Bases/r247-45ub,0,,"transportation, taxi, limousine, vehicle, paratransit, transit, van, travel, base",0,r247-45ub
Tabular,Paratransit Drivers (dataset/Paratransit-Drivers/8bqd-u9ta),Lists all TLC paratransit drivers,https://data.cityofnewyork.us/dataset/Paratransit-Drivers/8bqd-u9ta,0,,"transportation, taxi, limousine, vehicle, paratransit, transit, van, travel, drive, driver",0,8bqd-u9ta
External,Paratransit Services - Bases (Transportation/Paratransit-Services-Bases/3j9j-3cga),"Paratransit Bases provide pre-arranged transportation for passengers with disabilities. Most of the service takes individuals to and from health care facilities. This list includes license numbers, names(s) of licensees, addresses, and phone numbers.",https://data.cityofnewyork.us/Transportation/Paratransit-Services-Bases/3j9j-3cga,0,Transportation,,0,3j9j-3cga
External,Paratransit Services - Drivers (Transportation/Paratransit-Services-Drivers/5q5r-bu4w),"Paratransit Bases provide pre-arranged transportation for passengers with disabilities. Most of the service takes individuals to and from health care facilities. This list includes current status of Paratransit Driver Licenses, including TLC License Number, name of licensee, license type and expiration date.",https://data.cityofnewyork.us/Transportation/Paratransit-Services-Drivers/5q5r-bu4w,0,Transportation,,0,5q5r-bu4w
Filter,Bronx Derelict Vehicles 2010-present (Social-Services/Bronx-Derelict-Vehicles-2010-present/ccym-4hqq),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/Bronx-Derelict-Vehicles-2010-present/ccym-4hqq,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,ccym-4hqq
Filter,Noise 10009 (Social-Services/Noise-10009/tns8-xqei),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/Noise-10009/tns8-xqei,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,tns8-xqei
Filter,DCA Test (Other/DCA-Test/i6n6-3vtd),All 311 Service Request from 2010 to Present. Starting in November 2011 the data will be updated on a daily basis.,https://data.cityofnewyork.us/Other/DCA-Test/i6n6-3vtd,0,Other,"311, 311 service requests, 2010, 2011, service request status, all service requests",0,i6n6-3vtd
External,Paratransit Services - Vehicles (Transportation/Paratransit-Services-Vehicles/tvy2-e7mm),"Paratransit Bases provide pre-arranged transportation for passengers with disabilities. Most of the services take individuals to and from health care facilities. This list includes detailed vehicle information, including affiliated base, license numbers, names(s) of licensees, DMV license plate and VIN numbers, license types, expiration date, and model year.",https://data.cityofnewyork.us/Transportation/Paratransit-Services-Vehicles/tvy2-e7mm,0,Transportation,,0,tvy2-e7mm
Tabular,Paratransit Vehicles (dataset/Paratransit-Vehicles/v39y-4v3t),Lists all TLC paratransit vehicles,https://data.cityofnewyork.us/dataset/Paratransit-Vehicles/v39y-4v3t,0,,"transportation, taxi, limousine, vehicle, paratransit, transit, van, travel",0,v39y-4v3t
External,Park Closure Notifications (Parks-and-Recreation/Park-Closure-Notifications/efsz-uj8v),Closures effecting the availability of New York City Department of Parks & Recreation properties or facilities therein.,https://data.cityofnewyork.us/Parks-and-Recreation/Park-Closure-Notifications/efsz-uj8v,0,Parks and Recreation,"park closure notifications, closure, dpr",0,efsz-uj8v
Tabular,Parking Facilities (Facilities-and-Structures/Parking-Facilities/axfu-tjyt),A list of parking facilities that have a current DCA license as of the run date.,https://data.cityofnewyork.us/Facilities-and-Structures/Parking-Facilities/axfu-tjyt,0,Facilities and Structures,"parking, license, parking lot, lot, park",0,axfu-tjyt
Tabular,Parking Regulations (Locations File) (Transportation/Parking-Regulations-Locations-File-/9yzr-h7jq),"The Parking Regulations are drawn from DOTâ€™s traffic sign database, STATUS, which is used by DOT in managing its inventory of over one million traffic signs in New York City. The database keeps track of the description, location and installation dates for DOT traffic signs. The Locations and Signs files need to be used in combination. The data in files can be linked, to find an applicable regulation, using the 'StatusOrderNumber' value. This process is automated at our  DOT Parking Regulation website: http://a841-dotvweb01.nyc.gov/ParkingRegs/ViewController/LocationValidation.aspx",https://data.cityofnewyork.us/Transportation/Parking-Regulations-Locations-File-/9yzr-h7jq,0,Transportation,"parking, regulation, traffic, sign, signage, location, install, car, automobile, drive, driving",4,9yzr-h7jq
Tabular,Parks And Recreation Temporary Public Art Facilities (Cultural-Affairs/Parks-And-Recreation-Temporary-Public-Art-Faciliti/ev6s-hj49),,https://data.cityofnewyork.us/Cultural-Affairs/Parks-And-Recreation-Temporary-Public-Art-Faciliti/ev6s-hj49,0,Cultural Affairs,"public art, cultural institution, culture, parks, recreation",0,ev6s-hj49
External,Parks Inspections data (Facilities-and-Structures/Parks-Inspections-data/t9jy-gfev),"The Parks Inspection Program (PIP) is a comprehensive, outcome-based performance measurement system that generates frequent, random, and detailed inspections of our parks and playgrounds. A team of inspectors conducts nearly 5,000 inspections per year. Each site receives a rating of ""Acceptable"" or ""Unacceptable"" based upon the condition of specific park features.",https://data.cityofnewyork.us/Facilities-and-Structures/Parks-Inspections-data/t9jy-gfev,0,Facilities and Structures,"accountability, transparency, safety, quality",0,t9jy-gfev
Tabular,Patient Population at World Trade Center (WTC) Environmental Health Center (Health/Patient-Population-at-World-Trade-Center-WTC-Envir/y4yc-78a4),"HHC's WTC Environmental Health Center program, one of three Centers of Excellence in New York City, provides medical and mental healthcare to residents, students, workers, and passersby who may still be sick from 9/11.  This data shows the patient population of the program from 2008 to 2011.
Update Frequency: As needed",https://data.cityofnewyork.us/Health/Patient-Population-at-World-Trade-Center-WTC-Envir/y4yc-78a4,0,Health,"health, patient, world trade center, wtc, 9/11",0,y4yc-78a4
External,Pavement Edge (dataset/Pavement-Edge/gydf-ksfn),Planimetric basemap layer containing pavement edge features,https://data.cityofnewyork.us/dataset/Pavement-Edge/gydf-ksfn,0,,doitt gis,0,gydf-ksfn
Tabular,PCIP Recognition List (Health/PCIP-Recognition-List/sbfi-ns3g),Directory of medical practices in NYC,https://data.cityofnewyork.us/Health/PCIP-Recognition-List/sbfi-ns3g,0,Health,"pcip, recognition, doctor, medical, practice, directory, physician",0,sbfi-ns3g
Tabular,Police Department Disposition Of Substantiated Cases By Year Of CCRB Referral 2005 - 2009 (Public-Safety/Police-Department-Disposition-Of-Substantiated-Cas/88ds-ti7k),CCRB: Police Department Disposition of Substantiated Cases by Year of CCRB Referral 2005 - 2009,https://data.cityofnewyork.us/Public-Safety/Police-Department-Disposition-Of-Substantiated-Cas/88ds-ti7k,0,Public Safety,"complaint, civilian, review, board, activity, ccrb, civilian complaint review board, 2005, 2006, 2007, 2008, 2009, complaint activity, statistics, disciplinary recommendation, allegation, misconduct",0,88ds-ti7k
Filter,test (Other/test/vzpf-j8ym),This is the current list of all the datasets available on NYC Open Data,https://data.cityofnewyork.us/Other/test/vzpf-j8ym,0,Other,"data sets, list, data, opendata, catalog, nyc opendata catalog",0,vzpf-j8ym
Tabular,Police Department Disposition Of Substantiated Cases By Year Of NYPD Closure 2005 - 2009 (Public-Safety/Police-Department-Disposition-Of-Substantiated-Cas/fr6n-f337),CCRB: Police Department Disposition of Substantiated Cases by Year of NYPD Closure 2005 - 2009,https://data.cityofnewyork.us/Public-Safety/Police-Department-Disposition-Of-Substantiated-Cas/fr6n-f337,0,Public Safety,"complaint, civilian, review, board, activity, ccrb, civilian complaint review board, 2005, 2006, 2007, 2008, 2009, complaint activity, statistics, disciplinary recommendation, allegation, misconduct",0,fr6n-f337
Map,Phil Parks (Facilities-and-Structures/Phil-Parks/c32i-z5hm),GIS Map of New York City Department of Parks & Recreation parks.,https://data.cityofnewyork.us/Facilities-and-Structures/Phil-Parks/c32i-z5hm,0,Facilities and Structures,"park, parks, nature, recreation, location, map, cartography, geographic",0,c32i-z5hm
Map,Fire Divisions (Public-Safety/Fire-Divisions/7hkz-6paj),GIS data: Boundaries of Fire Divisions,https://data.cityofnewyork.us/Public-Safety/Fire-Divisions/7hkz-6paj,0,Public Safety,"fire divisions, dcp, geographic, location, map, cartography, safety, fire, flame, boundary, fireman, firemen, division",0,7hkz-6paj
Tabular,Prequalified Firms (dataset/Prequalified-Firms/ujcn-y8yu),"List of firms qualified to perform work for the School Construction Authority, their trades, and the end date of their qualification.",https://data.cityofnewyork.us/dataset/Prequalified-Firms/ujcn-y8yu,0,,"school, construction, authority, sca, firm, company, companies, work, trade, qualification, qualify, qualified, education",0,ujcn-y8yu
External,Press Releases (Parks-and-Recreation/Press-Releases/y8tr-23bj),Official New York City Department of Parks & Recreation Press Releases,https://data.cityofnewyork.us/Parks-and-Recreation/Press-Releases/y8tr-23bj,0,Parks and Recreation,"press releases, parks, doitt, dpr",0,y8tr-23bj
Map,JFK Airtrain (Transportation/JFK-Airtrain/h7qm-2nji),Line feature representing the JFK airtrain.,https://data.cityofnewyork.us/Transportation/JFK-Airtrain/h7qm-2nji,0,Transportation,"doitt gis, geographic, location, map, cartography, transportation, airport, jfk, airtrain, line",0,h7qm-2nji
Filter,Manhattan Noise Complaints 2007 Test (Other/Manhattan-Noise-Complaints-2007-Test/trrx-uj3v),Test data from all 311 Service Requests for 2007 in Manhattan.,https://data.cityofnewyork.us/Other/Manhattan-Noise-Complaints-2007-Test/trrx-uj3v,0,Other,"311, 311 service requests, 2007, all service requests",0,trrx-uj3v
Tabular,Production office space (Media/Production-office-space/bvna-6j7v),"List of Commercial space for recording and sound production in New York City. This is a list of studios which have requested to be included, rather than a comprehensive list of NYC facilities.",https://data.cityofnewyork.us/Media/Production-office-space/bvna-6j7v,0,Media,"property, business, media, production, record, recording, sound, studio, commercial, space",0,bvna-6j7v
Tabular,Projected Median Age By Borough 2000-2030 (Statistics/Projected-Median-Age-By-Borough-2000-2030/miqs-rvtb),Median Age of the population of New York City in total and by Borough: unadjusted decennial census data from 1950-2000 and projected figures from 2010-2030.,https://data.cityofnewyork.us/Statistics/Projected-Median-Age-By-Borough-2000-2030/miqs-rvtb,0,Statistics,,0,miqs-rvtb
Tabular,Projected Population 1950-2030 -Â€Â“ School- Age-- Elderly-- Total By Borough (Statistics/Projected-Population-1950-2030-School-Age-Elderly-/p3dy-fzbi),"Unadjusted decennial census data from 1950-2000 and projected figures from 2010-2030: summary table of New York City population numbers and percentage share by Borough, including school-age (5 to 17), elderly (65+), and total population.",https://data.cityofnewyork.us/Statistics/Projected-Population-1950-2030-School-Age-Elderly-/p3dy-fzbi,0,Statistics,"projected population 1950-2030 -Â€Â“ school- age-- elderly-- total by borough, dcp, 2000, 2030",0,p3dy-fzbi
Map,hg (Facilities-and-Structures/hg/kw8j-cuea),"GIS Map of Beaches on New York City Department of Parks & Recreation properties.
Update Frequency: Quarterly",https://data.cityofnewyork.us/Facilities-and-Structures/hg/kw8j-cuea,0,Facilities and Structures,"park, parks, nature, recreation, location, map, geographic, cartography, beach",0,kw8j-cuea
Tabular,Projected Population 2000-2030 - Females By Age Groups (Statistics/Projected-Population-2000-2030-Females-By-Age-Grou/xxf6-krb6),"Projected female New York City population for five intervals from 2000 through 2030 by borough, broken down by 18 age cohorts. (Age groups may not add up to the total due to rounding.)",https://data.cityofnewyork.us/Statistics/Projected-Population-2000-2030-Females-By-Age-Grou/xxf6-krb6,0,Statistics,"projected population 2000-2030 - females by age groups, dcp, 2000, 2030",0,xxf6-krb6
Tabular,Projected Population 2000-2030 - Males By Age Groups (Statistics/Projected-Population-2000-2030-Males-By-Age-Groups/z4hj-p6bi),"Projected male New York City population for five intervals from 2000 through 2030 by borough, broken down by 18 age cohorts. (Age groups may not add up to the total due to rounding.)",https://data.cityofnewyork.us/Statistics/Projected-Population-2000-2030-Males-By-Age-Groups/z4hj-p6bi,0,Statistics,"projected population 2000-2030 - males by age groups, dcp, 2000, 2030",0,z4hj-p6bi
Tabular,Projected Population 2000-2030 - Summary (Statistics/Projected-Population-2000-2030-Summary/ph5g-sr3v),"Projected New York City population numbers and percentage changes from 2000 through 2030 by Borough, including school-age, elderly, and total population.",https://data.cityofnewyork.us/Statistics/Projected-Population-2000-2030-Summary/ph5g-sr3v,0,Statistics,"projected population 2000-2030 - summary, dcp, population, 2000, 2030",0,ph5g-sr3v
Tabular,Projected Population 2000-2030 - Total By Age Groups (Statistics/Projected-Population-2000-2030-Total-By-Age-Groups/97pn-acdf),"Projected total New York City population for five intervals from 2000 through 2030 by Borough, broken down by 18 age cohorts. (Age groups may not add up to the total due to rounding.)",https://data.cityofnewyork.us/Statistics/Projected-Population-2000-2030-Total-By-Age-Groups/97pn-acdf,0,Statistics,"projected population 2000-2030 - total by age groups, dcp, 2000, 2030",0,97pn-acdf
Filter,gas (Environmental-Sustainability/gas/s5dv-r7pk),"2010 Natural Gas consumption in therms and GJ, by ZIP code, building type, and utility company.",https://data.cityofnewyork.us/Environmental-Sustainability/gas/s5dv-r7pk,0,Environmental Sustainability,"energy, gas, power, environment, utilities, planning",0,s5dv-r7pk
Tabular,Projects in construction (Facilities-and-Structures/Projects-in-construction/8586-3zfm),New school projects (Capacity) and Capital Improvement Projects (CIP) currently under Construction.,https://data.cityofnewyork.us/Facilities-and-Structures/Projects-in-construction/8586-3zfm,0,Facilities and Structures,"school, construction, authority, sca, capital, improvement, project, current, education",0,8586-3zfm
Filter,2004Query (Social-Services/2004Query/ttwv-39st),311 Service Requests for 2004. This is historical data and will not be updated.,https://data.cityofnewyork.us/Social-Services/2004Query/ttwv-39st,0,Social Services,"311, 311 service requests, 2004, all service requests",0,ttwv-39st
External,Property Address Directory (Property/Property-Address-Directory/mw4z-r6bv),"PAD contains geographic information about NYC's tax lots, and the buildings on them. A key component  is a list of geographic identifiers associated with each tax lot. The list includes the buildings the lot contains;  the street addresses and non-addressable street frontages of each of those buildings; all of the street frontages of the lot not associated with buildings; and any Non-Addressable Place Names (NAPs) associated with the lot.",https://data.cityofnewyork.us/Property/Property-Address-Directory/mw4z-r6bv,0,Property,"dcp, pad, property address directory, lot, tax lot, building, city planning, planning, block",0,mw4z-r6bv
Tabular,Property Data (Buildings Information System) (Property/Property-Data-Buildings-Information-System-/e98g-f8hy),List of NYC Properties under DOB jurisdiction,https://data.cityofnewyork.us/Property/Property-Data-Buildings-Information-System-/e98g-f8hy,0,Property,"property, building, jurisdiction",1,e98g-f8hy
Filter,New View (Education/New-View/c3h9-w2th),"Graduation Outcomes - Cohorts of 2001 through 2006 (Classes of 2005 through 2010) 
Â¶Â¶â€¢The New York State calculation method was first adopted for the Cohort of 2001 (Class of 2005). The cohort consists of all students who first entered 9th grade in a given school year (e.g., the Cohort of 2006 entered 9th grade in the 2006-2007 school year). Graduates are defined as those students earning either a Local or Regents diploma and exclude those earning either a special education (IEP) diploma or GED. For the most recent cohort, graduation rates as of both June and August (including summer graduates) are reported. 
Â¶Â¶â€¢Records with cohorts of 20 students or less are suppressed. August outcomes are only reported for the most recent cohort. 
Â¶Â¶â€¢August outcomes include all June and August graduates. In school-level reporting, students who were in a school for less than 5 months are not included in the schoolâ€™s cohort, but are included in citywide totals. 
Â¶Â¶â€¢School level results are not presented for District 79 schools, but their outcomes are included in citywide totals. 
Â¶Â¶â€¢Schools are listed by their current DBN's.",https://data.cityofnewyork.us/Education/New-View/c3h9-w2th,0,Education,,0,c3h9-w2th
Tabular,Public Health Insurance Enrollment Sites (dataset/Public-Health-Insurance-Enrollment-Sites/mhwy-j5md),List of NYC public health insurance enrollment sites,https://data.cityofnewyork.us/dataset/Public-Health-Insurance-Enrollment-Sites/mhwy-j5md,0,,"health, insurance, insure, enroll, enrollment, access, site, ochia",0,mhwy-j5md
Tabular,Public Recycling Bins (Environmental-Sustainability/Public-Recycling-Bins/sxx4-xhzg),Locations of public recycling bins throughout NYC,https://data.cityofnewyork.us/Environmental-Sustainability/Public-Recycling-Bins/sxx4-xhzg,0,Environmental Sustainability,"public recycling bins, environmental sustainability, green, garbage, sanitation, dsny, bins, recycle, dispose, reduce, reuse",0,sxx4-xhzg
External,Publicly Accessible Waterfront Spaces (PAWS) Database (Government/Publicly-Accessible-Waterfront-Spaces-PAWS-Databas/sp9a-cd2a),"This Access database contains information about publicly accessible waterfront spaces in NYC.  The database can be joined to the PAWS shapefile on the PAWS_ID field. The database includes many additional attribute fields and provides more detailed information on each publicly accessible waterfront space that is not under the jurisdiction of NYC Department of Parks and Recreation, NYS Office of Parks, Recreation & Historic Preservation, or the National Park Service.",https://data.cityofnewyork.us/Government/Publicly-Accessible-Waterfront-Spaces-PAWS-Databas/sp9a-cd2a,0,Government,"publicly accessible waterfront spaces (paws) database, dcp",0,sp9a-cd2a
Tabular,Q1 2010 Real Estate Market Indicators (Property/Q1-2010-Real-Estate-Market-Indicators/dftr-3bf5),Statistical data on the lower Manhattan real estate market,https://data.cityofnewyork.us/Property/Q1-2010-Real-Estate-Market-Indicators/dftr-3bf5,0,Property,"manhattan, downtown, real estate, land, market, home, house, apartment, condo",1,dftr-3bf5
Tabular,Quality Of Life Indicators (Statistics/Quality-Of-Life-Indicators/8hkx-uppz),Statistics on NYC quality of life,https://data.cityofnewyork.us/Statistics/Quality-Of-Life-Indicators/8hkx-uppz,0,Statistics,"life, quality, statistic, community",0,8hkx-uppz
